Name,Day/Hours,Address/Location,URL,Tags,comments
Atlantic County,"Fri., 4-6pm, June 20–Sept.19 (except 7/4)",ATLANTIC COUNTY,cropsnj.org/access-food,
BRIGANTINE,"Sat., 8am–noon, May 24–Sept. 6","Brigantine Community School,",,wic
GALLOWAY – Go Green,"Thurs., 4–7pm, June 26–Sept. 6","Historic Smithville Village Green,",gogreengalloway.org,
MARGATE,Along Amherst & Monroe Aves.,June 12–Aug. 28,or facebook.com,
SOMERS POINT,"Sat., 8am–noon, May 17–Sept. 6",Somers Mansion Historic Site,facebook.com,
VENTNOR CITY,"Fri., 8:30am–noon, May 23–Aug. 29",Newport & Atlantic Ave.,vcfm.org,
BERGEN COUNTY,"Sat., 9am–3pm, May 31–July 5",and Sept. 6–Nov. 22,facebook.com,
RAMSEY,"May 4–Nov. 30, Dec.-April, 10am-1pm","Erie Plaza train station, 2 W. Main St.",ramseyfarmersmarket.org,
RIDGEWOOD,"Sun., 8:30am–2pm, June 22–Oct. 26","West Side Train Lot, Godwin & W. Ridgewood Aves.",ridgewoodchamber.com,
RIVER EDGE,"Thurs., 3-7pm, May 22–Oct. 23",215 Continental Ave.,riveredgenj.org/RiverEdgeFarmersMarket,
RIVER VALE,"Thurs., 1–6pm, May 15–Oct. 30; Nov. 25",406 Rivervale Rd.,rivervalenj.org/page/farmers-market,
RUTHERFORD,"Wed., 9am–5pm, and Sat., 8am–2pm,",July 2–Oct. 29,rutherfordboronj.com/farmers-market,
TEANECK,"Thurs., noon–6pm, May 8–Oct. 30","Teaneck Municipal Lot,",,"snap-ebt, senior","Teaneck Farmers’ Market’s mission is to bring fresh produce and artisan goods to Teaneck, to promote a healthy lifestyle, and to support the importance of community."
BURLINGTON COUNTY,"Sun., 9am–1pm, June–Oct.",BORDENTOWN CITY,cityofbordentown.com/page/farmers-market,wic
COLUMBUS,"Thurs.–Sun., year-round",2919 Rte. 206,columbusfarmersmarket.com,,"Established in 1929, the market is Delaware Valley’s oldest and largest market and shopping center, open for families year-round."
MOORESTOWN – Burlington County,"Sat., 8:30am–1pm, May 10–Nov. 22",Farmers’ Market,burlcoagcenter.com,,"Featuring fresh produce, artisan goods, live music, and a strong community coming together on the farm every Saturday with family and friends to support local."
MOUNT LAUREL – Rancocas Woods,"Sun. 10am–2pm, June 1–Oct. 26","Rancocas Woods, 118 Creek Rd.",rancocaswoodseventsnshops.com/farmers-market,
CAMDEN COUNTY,"Outdoor market: Fri.–Sun., 8am–4pm",BERLIN,berlinfarmersmarket.com,
COLLINGSWOOD,"Sat., 8am–noon, May 3–Nov. 22",Along PATCO on Atlantic Ave.,collingswoodmarket.com,,"A South Jersey tradition where the community gathers each Saturday for fresh produce, local fare, live music, and seasonal events celebrating food, farmers, and neighbors."
HADDON HEIGHTS,"Sun., 9:30–1pm, April 27–Nov. 23",Corner of Station & Atlantic Aves.,haddonheightsfarmersmarket.com,
HADDONFIELD,"Sat., 8:30am–1pm, May 17–Oct. 11",2 Kings Court,haddonfieldfarmersmarket.org,
MERCHANTVILLE,"1st Fri. of month, 5–8pm, May 2, June 6,","July 11, Aug. 1, Sept. 5, Oct. 3",facebook.com/merchantvillemarketoff,
CAPE MAY COUNTY,"Wed., 8am–noon, June 4–Sept. 3",OCEAN CITY,oceancityvacation.com,
SEA ISLE CITY,"Tues., 8am–noon, June 17–Aug. 26","Excursion Park, JFK Blvd. & Pleasure Ave.",seaislechamber.com/farmers-market,
STONE HARBOR,"Sun., 8am–12:30pm, May 25–Aug. 31","Water Tower Lot, 95th St. & Second Ave.",facebook.com/stoneharborfarmersmarket,
WEST CAPE MAY,"Tues., 3–7:30pm, June 24–August 26",Backyard Park at 732 Broadway,,,"Now in its 24th season of providing farm fresh produce, live entertainment and more. Make Tuesdays your “no-cook” night and grab dinner from one of the diverse local vendors!"
WILDWOOD – Downtown,"Sat., 8am–12:30pm, May 24–Aug. 30","Byrne Plaza, 3400 Pacific Ave.",dooww.com/farmersmarket,
ESSEX COUNTY,"Tues., 3:30–6:30pm, June 3–Oct. 28",BLOOMFIELD,bloomfieldtwpnj.com/1570/Bloomfield-Community-Farmers-Market,
EAST ORANGE,"Tues., 1–7pm, July 1–Sept. 30","City Hall Plaza, East Orange",facebook.com/eofarmersmarket,,"The East Orange Farmers Market is a municipal-sponsored initiative aimed at promoting local agriculture and providing fresh, healthy food options to our residents and visitors."
MAPLEWOOD,"Mon., 2–7pm, June 2–Nov. 24",1662 Springfield Ave.,maplewoodnj.gov/government/public-works/farmers-market,
MONTCLAIR,"Sat., 8am–2pm, June–Nov.; 9am–1pm,","Dec.–May, year-round",montclairfarmersmarket.org,,"We’re one of NJ’s oldest (1993), largest (45+ vendors), and best markets! Fresh regional produce, delicious specialty foods, music, community groups, families, accessibility, and sustainability!"
NEWARK – The Beth Greenhouse,"Thurs., 11am–3pm, June 5–Nov. 20","Newark Beth Israel Medical Center,",rwjbh.org/treatment-care/wellness/the-beth-greenhouse,
NEWARK – La Casa de Don Pedro,"Thurs., 4-7pm, July 17, Aug. 21,","Sept. 18, Oct. 16",facebook.com/lacasanwk,
NEWARK – Clinton Hill,"Select Saturdays, 11am–3pm, June–Oct.","Our Community Grocery Store, 393",clintonhillaction.org,
NEWARK – Harriet Tubman Square,of the month May–Oct.,"Newark Public Library, 5 Washington St.",tubmanfarmmarket.splashthat.com,
NEWARK – Makerhood,Sun 11am-3pm May 18—Oct 28,"Behind Kruger-Scott Mansion,",citybloom.org,
