market_name,market_url,vendor_page_url,vendors,extraction_success,error_message,processing_time,name,business_type,products,location,phone,email,website,accepts,description,instagram,description_1,confidence
asburyfresh.com,"",https://asburyfresh.com/,"[{'name': Holland Ridge Farms, 'business_type': flower farm, 'products': NULL, 'location': 'Cream Ridge, New Jersey', 'contact_info': NULL, 'description': a remarkable 300+ acre flower farm, 'confidence': 0.9}, {'name': Benchmark Breads, 'business_type': bakery, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Betsy Benchmark Breads Team FRESH is a great company to work with, they are the cornerstone of my business. The camaraderie with all the vendors is very special, there\'s so many incredibly talented artists. I just love them!', 'confidence': 0.8}, {'name': Stone College Consultants, 'business_type': college planning business, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'a small, women owned college planning business', 'confidence': 0.8}, {'name': Spirituallywired1211, 'business_type': NULL, 'products': NULL, 'location': NULL, 'contact_info': {'phone': 732-481-4691, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': NULL, 'confidence': 0.7}]",true,,3.4826161861419678,Holland Ridge Farms,flower farm,,"Cream Ridge, New Jersey",,,,,,,a remarkable 300+ acre flower farm,0.9
asburyfresh.com,"",https://asburyfresh.com/,"[{'name': Holland Ridge Farms, 'business_type': flower farm, 'products': NULL, 'location': 'Cream Ridge, New Jersey', 'contact_info': NULL, 'description': a remarkable 300+ acre flower farm, 'confidence': 0.9}, {'name': Benchmark Breads, 'business_type': bakery, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Betsy Benchmark Breads Team FRESH is a great company to work with, they are the cornerstone of my business. The camaraderie with all the vendors is very special, there\'s so many incredibly talented artists. I just love them!', 'confidence': 0.8}, {'name': Stone College Consultants, 'business_type': college planning business, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'a small, women owned college planning business', 'confidence': 0.8}, {'name': Spirituallywired1211, 'business_type': NULL, 'products': NULL, 'location': NULL, 'contact_info': {'phone': 732-481-4691, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': NULL, 'confidence': 0.7}]",true,,3.4826161861419678,Benchmark Breads,bakery,,,,,,,,,"Betsy Benchmark Breads Team FRESH is a great company to work with, they are the cornerstone of my business. The camaraderie with all the vendors is very special, there's so many incredibly talented artists. I just love them!",0.8
asburyfresh.com,"",https://asburyfresh.com/,"[{'name': Holland Ridge Farms, 'business_type': flower farm, 'products': NULL, 'location': 'Cream Ridge, New Jersey', 'contact_info': NULL, 'description': a remarkable 300+ acre flower farm, 'confidence': 0.9}, {'name': Benchmark Breads, 'business_type': bakery, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Betsy Benchmark Breads Team FRESH is a great company to work with, they are the cornerstone of my business. The camaraderie with all the vendors is very special, there\'s so many incredibly talented artists. I just love them!', 'confidence': 0.8}, {'name': Stone College Consultants, 'business_type': college planning business, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'a small, women owned college planning business', 'confidence': 0.8}, {'name': Spirituallywired1211, 'business_type': NULL, 'products': NULL, 'location': NULL, 'contact_info': {'phone': 732-481-4691, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': NULL, 'confidence': 0.7}]",true,,3.4826161861419678,Stone College Consultants,college planning business,,,,,,,,,"a small, women owned college planning business",0.8
asburyfresh.com,"",https://asburyfresh.com/,"[{'name': Holland Ridge Farms, 'business_type': flower farm, 'products': NULL, 'location': 'Cream Ridge, New Jersey', 'contact_info': NULL, 'description': a remarkable 300+ acre flower farm, 'confidence': 0.9}, {'name': Benchmark Breads, 'business_type': bakery, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Betsy Benchmark Breads Team FRESH is a great company to work with, they are the cornerstone of my business. The camaraderie with all the vendors is very special, there\'s so many incredibly talented artists. I just love them!', 'confidence': 0.8}, {'name': Stone College Consultants, 'business_type': college planning business, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'a small, women owned college planning business', 'confidence': 0.8}, {'name': Spirituallywired1211, 'business_type': NULL, 'products': NULL, 'location': NULL, 'contact_info': {'phone': 732-481-4691, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': NULL, 'confidence': 0.7}]",true,,3.4826161861419678,Spirituallywired1211,,,,732-481-4691,,,,,,,0.7
barnegat.net,"",https://www.barnegat.net/about-barnegat/,"[{'name': Barnegat Bay Shellfish Co., 'business_type': Seafood, 'products': [Clams, Oysters, Mussels], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.barnegatbayshellfishco.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Local provider of fresh seafood from Barnegat Bay, 'confidence': 0.9}, {'name': Jersey Shore Produce, 'business_type': Farm, 'products': [Fruits, Vegetables], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.jerseyshoreproducellc.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Family-owned farm selling a variety of seasonal produce, 'confidence': 0.8}, {'name': Barnegat Baking Company, 'business_type': Bakery, 'products': [Breads, Pastries, Pies], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.barnegatbakingcompany.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Local bakery offering freshly baked goods, 'confidence': 0.8}]",true,,4.593862056732178,Barnegat Bay Shellfish Co.,Seafood,"[Clams, Oysters, Mussels]","Barnegat, NJ",,,http://www.barnegatbayshellfishco.com/,,,,Local provider of fresh seafood from Barnegat Bay,0.9
barnegat.net,"",https://www.barnegat.net/about-barnegat/,"[{'name': Barnegat Bay Shellfish Co., 'business_type': Seafood, 'products': [Clams, Oysters, Mussels], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.barnegatbayshellfishco.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Local provider of fresh seafood from Barnegat Bay, 'confidence': 0.9}, {'name': Jersey Shore Produce, 'business_type': Farm, 'products': [Fruits, Vegetables], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.jerseyshoreproducellc.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Family-owned farm selling a variety of seasonal produce, 'confidence': 0.8}, {'name': Barnegat Baking Company, 'business_type': Bakery, 'products': [Breads, Pastries, Pies], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.barnegatbakingcompany.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Local bakery offering freshly baked goods, 'confidence': 0.8}]",true,,4.593862056732178,Jersey Shore Produce,Farm,"[Fruits, Vegetables]","Barnegat, NJ",,,http://www.jerseyshoreproducellc.com/,,,,Family-owned farm selling a variety of seasonal produce,0.8
barnegat.net,"",https://www.barnegat.net/about-barnegat/,"[{'name': Barnegat Bay Shellfish Co., 'business_type': Seafood, 'products': [Clams, Oysters, Mussels], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.barnegatbayshellfishco.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Local provider of fresh seafood from Barnegat Bay, 'confidence': 0.9}, {'name': Jersey Shore Produce, 'business_type': Farm, 'products': [Fruits, Vegetables], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.jerseyshoreproducellc.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Family-owned farm selling a variety of seasonal produce, 'confidence': 0.8}, {'name': Barnegat Baking Company, 'business_type': Bakery, 'products': [Breads, Pastries, Pies], 'location': 'Barnegat, NJ', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'http://www.barnegatbakingcompany.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': Local bakery offering freshly baked goods, 'confidence': 0.8}]",true,,4.593862056732178,Barnegat Baking Company,Bakery,"[Breads, Pastries, Pies]","Barnegat, NJ",,,http://www.barnegatbakingcompany.com/,,,,Local bakery offering freshly baked goods,0.8
bedminster.us,"",https://bedminster.us/services/farmers_market,"[{'name': Bedminster Farmers Market, 'business_type': Farmers Market, 'products': [Quality locally-grown products], 'location': 'River Road Park, 3055 River Road (intersection of River Road and Route 202/206 South), Bedminster, New Jersey', 'contact_info': {'phone': 908-212-7000, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': The Bedminster Farmers Market is dedicated to promoting and encouraging local agriculture by providing a marketplace for quality locally-grown products from independently owned and operated farms. It is a forum for residents to appreciate the agricultural community and the importance of maintaining land for agricultural uses., 'confidence': 1.0}]",true,,2.876054048538208,Bedminster Farmers Market,Farmers Market,[Quality locally-grown products],"River Road Park, 3055 River Road (intersection of River Road and Route 202/206 South), Bedminster, New Jersey",908-212-7000,,,,,,The Bedminster Farmers Market is dedicated to promoting and encouraging local agriculture by providing a marketplace for quality locally-grown products from independently owned and operated farms. It is a forum for residents to appreciate the agricultural community and the importance of maintaining land for agricultural uses.,1.0
bellworksfresh.com,"",https://bellworksfresh.com/,"[{'name': Holland Ridge Farms, 'business_type': Flower Farm, 'products': NULL, 'location': 'Cream Ridge, New Jersey', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'https://hollandridgefarms.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Located in Cream Ridge, New Jersey, @hollandridgefarms is a remarkable 300+ acre flower farm.', 'confidence': 0.9}, {'name': Asbury FRESH Farmers & Makers Market, 'business_type': Farmers Market, 'products': NULL, 'location': Downtown Asbury Park, 'contact_info': NULL, 'description': 'Asbury Park\'s beloved farmers & makers market, a weekly favorite for both locals and tourists, returns for its 13th year in Downtown Asbury Park.', 'confidence': 0.9}, {'name': Bell Works FRESH Farmers & Makers Market, 'business_type': Farmers Market, 'products': NULL, 'location': Bell Works, 'contact_info': NULL, 'description': 'Join us every Wednesday at Bell Works for the 2025 Farmers and Makers Market. Shop fresh, locally grown produce and unique handmade goods from your favorite local vendors.', 'confidence': 0.9}, {'name': Bell Works FRESH Saturday Farmers & Makers Market, 'business_type': Farmers Market, 'products': NULL, 'location': Bell Works, 'contact_info': NULL, 'description': 'Join us monthly at Bell Works for our Saturday Farmers & Makers Market. Discover a curated selection of handmade goods, vintage finds, delicious food, produce and more from talented local makers an...', 'confidence': 0.9}, {'name': Kaleidoscollar, 'business_type': Handmade, 'products': [Handmade Pieces], 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'https://www.etsy.com/shop/Kaleidoscollar', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Asbury Fresh has the best energy! It\'s the kind of place that just feels good — super friendly, full of creative local vendors, and always something cool to discover.', 'confidence': 0.8}, {'name': Spicegrove, 'business_type': Handmade, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'https://spicegrove.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': FRESH markets team provides a space which is truly community based! They curate some of the best makers for their events which are always organized and professionally managed., 'confidence': 0.8}, {'name': AU Honey, 'business_type': Honey, 'products': [Honey], 'location': NULL, 'contact_info': NULL, 'description': We love the community that comes along with working with FRESH Markets. We could not asking for a more supportive group of vendors and market managers., 'confidence': 0.8}, {'name': Benchmark Breads, 'business_type': Bakery, 'products': [Bread], 'location': NULL, 'contact_info': {'phone': 732-481-4691, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Not only do I love selling with FRESH Markets, but the staff are the most kind and supportive people I have worked with in the market industry!', 'confidence': 0.8}]",true,,6.867272138595581,Holland Ridge Farms,Flower Farm,,"Cream Ridge, New Jersey",,,https://hollandridgefarms.com/,,,,"Located in Cream Ridge, New Jersey, @hollandridgefarms is a remarkable 300+ acre flower farm.",0.9
bellworksfresh.com,"",https://bellworksfresh.com/,"[{'name': Holland Ridge Farms, 'business_type': Flower Farm, 'products': NULL, 'location': 'Cream Ridge, New Jersey', 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'https://hollandridgefarms.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Located in Cream Ridge, New Jersey, @hollandridgefarms is a remarkable 300+ acre flower farm.', 'confidence': 0.9}, {'name': Asbury FRESH Farmers & Makers Market, 'business_type': Farmers Market, 'products': NULL, 'location': Downtown Asbury Park, 'contact_info': NULL, 'description': 'Asbury Park\'s beloved farmers & makers market, a weekly favorite for both locals and tourists, returns for its 13th year in Downtown Asbury Park.', 'confidence': 0.9}, {'name': Bell Works FRESH Farmers & Makers Market, 'business_type': Farmers Market, 'products': NULL, 'location': Bell Works, 'contact_info': NULL, 'description': 'Join us every Wednesday at Bell Works for the 2025 Farmers and Makers Market. Shop fresh, locally grown produce and unique handmade goods from your favorite local vendors.', 'confidence': 0.9}, {'name': Bell Works FRESH Saturday Farmers & Makers Market, 'business_type': Farmers Market, 'products': NULL, 'location': Bell Works, 'contact_info': NULL, 'description': 'Join us monthly at Bell Works for our Saturday Farmers & Makers Market. Discover a curated selection of handmade goods, vintage finds, delicious food, produce and more from talented local makers an...', 'confidence': 0.9}, {'name': Kaleidoscollar, 'business_type': Handmade, 'products': [Handmade Pieces], 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'https://www.etsy.com/shop/Kaleidoscollar', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Asbury Fresh has the best energy! It\'s the kind of place that just feels good — super friendly, full of creative local vendors, and always something cool to discover.', 'confidence': 0.8}, {'name': Spicegrove, 'business_type': Handmade, 'products': NULL, 'location': NULL, 'contact_info': {'phone': NULL, 'email': NULL, 'website': 'https://spicegrove.com/', 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': FRESH markets team provides a space which is truly community based! They curate some of the best makers for their events which are always organized and professionally managed., 'confidence': 0.8}, {'name': AU Honey, 'business_type': Honey, 'products': [Honey], 'location': NULL, 'contact_info': NULL, 'description': We love the community that comes along with working with FRESH Markets. We could not asking for a more supportive group of vendors and market managers., 'confidence': 0.8}, {'name': Benchmark Breads, 'business_type': Bakery, 'products': [Bread], 'location': NULL, 'contact_info': {'phone': 732-481-4691, 'email': NULL, 'website': NULL, 'accepts': NULL, 'description': NULL, 'instagram': NULL}, 'description': 'Not only do I love selling with FRESH Markets, but the staff are the most kind and supportive people I have worked with in the market industry!', 'confidence': 0.8}]",true,,6.867272138595581,Asbury FRESH Farmers & Makers Market,Farmers Market,,Downtown Asbury Park,,,,,,,"Asbury Park's beloved farmers & makers market, a weekly favorite for both locals and tourists, returns for its 13th year in Downtown Asbury Park.",0.9
